Cell_Line,group1,group2,Description,Project_id,Disease,Origin,Stage,Primary.Metastatic,Age.at.diagnosis..months.,MYCN.amplification,Laterality.of.tumour,RB1.mutation.allele.1...allele.2,DSMZ_Cell_line_norm,PATHS,LIBRARY,PATH_CELL_LINE,PATH_alt_id,sample_name,organ,tcga_codes
EM-2,CML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE,NONE,NONE,NONE,EM_2,./NG-13640/2018-05-11/NG-13640_EM_2_lib259814_5981_7_1.fastq.gz,lib259814_5981_7,EM_2,NONE,NG-13640_EM_2_lib259814_5981_7,Myeloid,LAML
EOL-1,AML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,EOL_1,./NG-13640/2018-03-06/NG-13640_EOL_1_lib248390_5885_6_1.fastq.gz,lib248390_5885_6,EOL_1,NONE,NG-13640_EOL_1_lib248390_5885_6,Myeloid,LAML
F-36P,AML_ery,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, erythroid",NA,NONE,NONE,NONE,NONE,NONE,NONE,F_36P,./NG-13640/2018-03-06/NG-13640_F_36P_lib248396_5885_1_1.fastq.gz,lib248396_5885_1,F_36P,NONE,NG-13640_F_36P_lib248396_5885_1,Myeloid,LAML
GRANTA-519,MCL,LL-100,leukemia and lymphoma panel,NG-13640,Mantle cell lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,GRANTA_519,./NG-13640/2018-01-29/NG-13640_GRANTA_519_lib241206_5808_6_1.fastq.gz,lib241206_5808_6,GRANTA_519,NONE,NG-13640_GRANTA_519_lib241206_5808_6,Lymphoid,DLBC
HAIR-M,HCL,LL-100,leukemia and lymphoma panel,NG-13640,Hairy cell leukemia,NA,NONE,NONE,NONE,NONE,NONE,NONE,HAIR_M,./NG-13640/2018-01-15/NG-13640_HAIRM_lib236393_5774_5_1.fastq.gz,lib236393_5774_5,HAIRM,HAIR_M,NG-13640_HAIRM_lib236393_5774_5,Lymphoid,DLBC
HC-1,HCL,LL-100,leukemia and lymphoma panel,NG-13640,Hairy cell leukemia,NA,NONE,NONE,NONE,NONE,NONE,NONE,HC_1,./NG-13640/2018-01-15/NG-13640_HC1_lib236394_5774_5_1.fastq.gz,lib236394_5774_5,HC1,HC_1,NG-13640_HC1_lib236394_5774_5,Lymphoid,DLBC
HDLM-2,HL,LL-100,leukemia and lymphoma panel,NG-13640,Hodgkin lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,HDLM_2,./NG-13640/2017-12-04/NG-13640_HDLM_2_lib227487_5697_4_1.fastq.gz,lib227487_5697_4,HDLM_2,NONE,NG-13640_HDLM_2_lib227487_5697_4,Lymphoid,DLBC
HEL,AML_ery,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, erythroid",NA,NONE,NONE,NONE,NONE,NONE,NONE,HEL,./NG-13640/2018-03-06/NG-13640_HEL_lib248397_5885_1_1.fastq.gz,lib248397_5885_1,HEL,NONE,NG-13640_HEL_lib248397_5885_1,Myeloid,LAML
HG-3,PLL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,HG_3,./NG-13640/2017-12-04/NG-13640_HG_3_lib227479_5697_4_1.fastq.gz,lib227479_5697_4,HG_3,NONE,NG-13640_HG_3_lib227479_5697_4,Hematologic,DLBC;LAML
HH,M T MAL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,HH,./NG-13640/2018-01-29/NG-13640_HH_lib241222_5808_1_1.fastq.gz,lib241222_5808_1,HH,NONE,NG-13640_HH_lib241222_5808_1,Hematologic,DLBC;LAML
HL-60,AML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,HL_60,./NG-13640/2018-01-12/NG-13640_HL60_lib236384_5767_8_1.fastq.gz,lib236384_5767_8,HL60,HL_60,NG-13640_HL60_lib236384_5767_8,Myeloid,LAML
HPB-ALL,T_ALL_TLL,LL-100,leukemia and lymphoma panel,NG-13640,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,HPB_ALL,./NG-13640/2018-01-29/NG-13640_HPB_ALL_lib241219_5808_7_1.fastq.gz,lib241219_5808_7,HPB_ALL,NONE,NG-13640_HPB_ALL_lib241219_5808_7,Lymphoid,DLBC
HT-1080,S_FISA,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,HT_1080,./NG-13640/2018-05-14/NG-13640_HT_1080_lib259823_5972_8_1.fastq.gz,lib259823_5972_8,HT_1080_5972_8,HT_1080,NG-13640_HT_1080_lib259823_5972_8,Hematologic,DLBC;LAML
HT-1080,S_FISA,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,HT_1080,./NG-13640/2018-05-14/NG-13640_HT_1080_lib259823_5988_1_1.fastq.gz,lib259823_5988_1,HT_1080_5988_1,HT_1080,NG-13640_HT_1080_lib259823_5988_1,Hematologic,DLBC;LAML
JEKO-1,MCL,LL-100,leukemia and lymphoma panel,NG-13640,Mantle cell lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,JEKO_1,./NG-13640/2018-01-15/NG-13640_JEKO1_lib236395_5774_5_1.fastq.gz,lib236395_5774_5,JEKO1,JEKO_1,NG-13640_JEKO1_lib236395_5774_5,Lymphoid,DLBC
JURKAT,T_ALL_TLL,LL-100,leukemia and lymphoma panel,NG-13640,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,JURKAT,./NG-13640/2018-01-19/NG-13640_JURKAT_lib236382_5794_6_1.fastq.gz,lib236382_5794_6,JURKAT,NONE,NG-13640_JURKAT_lib236382_5794_6,Lymphoid,DLBC
JVM-13,PLL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,JVM_13,./NG-13640/2017-12-04/NG-13640_JVM_13_lib227481_5697_4_1.fastq.gz,lib227481_5697_4,JVM_13,NONE,NG-13640_JVM_13_lib227481_5697_4,Hematologic,DLBC;LAML
JVM-2,MCL,LL-100,leukemia and lymphoma panel,NG-13640,Mantle cell lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,JVM_2,./NG-13640/2018-01-12/NG-13640_JVM2_lib236381_5767_8_1.fastq.gz,lib236381_5767_8,JVM2,JVM_2,NG-13640_JVM2_lib236381_5767_8,Lymphoid,DLBC
JVM-3,PLL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,JVM_3,./NG-13640/2017-12-04/NG-13640_JVM_3_lib227480_5697_4_1.fastq.gz,lib227480_5697_4,JVM_3,NONE,NG-13640_JVM_3_lib227480_5697_4,Hematologic,DLBC;LAML
K-562,CML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE,NONE,NONE,NONE,K_562,./NG-13640/NG-13640_K_562_RNA_lib206692_5568_1_1.fastq.gz,lib206692_5568_1,K_562,NONE,NG-13640_K_562_RNA_lib206692_5568_1,Myeloid,LAML
KASUMI-1,AML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,KASUMI_1,./NG-13640/NG-13640_KASUMI_1_RNA_lib206691_5568_1_1.fastq.gz,lib206691_5568_1,KASUMI_1_RNA,NONE,NG-13640_KASUMI_1_RNA_lib206691_5568_1,Myeloid,LAML
KCL-22,CML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE,NONE,NONE,NONE,KCL_22,./NG-13640/2018-05-11/NG-13640_KCL_22_lib259815_5981_7_1.fastq.gz,lib259815_5981_7,KCL_22,NONE,NG-13640_KCL_22_lib259815_5981_7,Myeloid,LAML
KG-1,AML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,KG_1,./NG-13640/2018-03-06/NG-13640_KG_1_lib248391_5885_6_1.fastq.gz,lib248391_5885_6,KG_1,NONE,NG-13640_KG_1_lib248391_5885_6,Myeloid,LAML
KHYG-1,NK MAL,LL-100,leukemia and lymphoma panel,NG-13640,Natural killer malignancy,NA,NONE,NONE,NONE,NONE,NONE,NONE,KHYG_1,./NG-13640/2018-03-06/NG-13640_KHYG_1_lib248382_5885_5_1.fastq.gz,lib248382_5885_5,KHYG_1,NONE,NG-13640_KHYG_1_lib248382_5885_5,Lymphoid,DLBC
KM-H2,HL,LL-100,leukemia and lymphoma panel,NG-13640,Hodgkin lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,KM_H2,./NG-13640/2018-03-20/NG-13640_KM_H2_lib248380_5885_5_1.fastq.gz,lib248380_5885_5,KM_H2_5885_5,KM_H2,NG-13640_KM_H2_lib248380_5885_5,Lymphoid,DLBC
