query_name	query_type	submitted_genes	recognised_genes	background_name	background_size	source_databases	correction_method	significant_terms	status	skipped_reason
ranked_marker_source_panel__cohort_nbl_marker_source_class_isolate_direction_mixed	cohort_marker_source_class_direction	0	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_rbl_marker_source_class_isolate_direction_mixed	cohort_marker_source_class_direction	0	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__contrast_brca_isolate_du_4475_vs_rest_all	per_contrast	50	NOT_AVAILABLE	ranked_marker_source_panel__brca__isolate_du_4475_vs_rest__eligible_deseq2_background	18186	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_isolate_du_4475_vs_rest_up	per_contrast	26	NOT_AVAILABLE	ranked_marker_source_panel__brca__isolate_du_4475_vs_rest__eligible_deseq2_background	18186	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_isolate_du_4475_vs_rest_down	per_contrast	24	NOT_AVAILABLE	ranked_marker_source_panel__brca__isolate_du_4475_vs_rest__eligible_deseq2_background	18186	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_isolate_iph_926_vs_rest_all	per_contrast	50	NOT_AVAILABLE	ranked_marker_source_panel__brca__isolate_iph_926_vs_rest__eligible_deseq2_background	17341	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_isolate_iph_926_vs_rest_up	per_contrast	5	NOT_AVAILABLE	ranked_marker_source_panel__brca__isolate_iph_926_vs_rest__eligible_deseq2_background	17341	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_isolate_iph_926_vs_rest_down	per_contrast	45	NOT_AVAILABLE	ranked_marker_source_panel__brca__isolate_iph_926_vs_rest__eligible_deseq2_background	17341	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_isolate_sk_br_3_vs_rest_all	per_contrast	50	NOT_AVAILABLE	ranked_marker_source_panel__brca__isolate_sk_br_3_vs_rest__eligible_deseq2_background	17636	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_isolate_sk_br_3_vs_rest_up	per_contrast	6	NOT_AVAILABLE	ranked_marker_source_panel__brca__isolate_sk_br_3_vs_rest__eligible_deseq2_background	17636	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_isolate_sk_br_3_vs_rest_down	per_contrast	44	NOT_AVAILABLE	ranked_marker_source_panel__brca__isolate_sk_br_3_vs_rest__eligible_deseq2_background	17636	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_anchor_efm_192c_vs_outside_component_0_all	per_contrast	200	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_efm_192c_vs_outside_component_0__eligible_deseq2_background	17359	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_anchor_efm_192c_vs_outside_component_0_up	per_contrast	35	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_efm_192c_vs_outside_component_0__eligible_deseq2_background	17359	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
