"sample_id","organ","tcga_code","best_tcga_overall","best_rho_overall","rho_allowed"
"NG-13640_UT_7_lib259813_5981_7","Hematologic-Myeloid","LAML","LUAD",0.466251080699695,0.430906183649956
"NG-30919_RBL_13_lib628469_10098_1","Uveal/Eye","UVM","LGG",0.607784387448677,0.508032040842365
"NG-30919_RBL_14_lib628470_10098_1","Uveal/Eye","UVM","LGG",0.619595290275755,0.505607413247691
"NG-30919_RBL_15_lib626622_10098_2","Uveal/Eye","UVM","LGG",0.563752291471459,0.493952340950822
"NG-30919_RBL_15_lib626622_10102_4","Uveal/Eye","UVM","LGG",0.556431526989972,0.483443145391423
"NG-30919_RBL_18_lib626623_10098_1","Uveal/Eye","UVM","LGG",0.622687199815676,0.492373017894297
"NG-30919_RBL_20_lib626624_10098_1","Uveal/Eye","UVM","LGG",0.60755816964218,0.488902659332417
"NG-30919_RBL_20_lib626624_10102_3","Uveal/Eye","UVM","LGG",0.60931997146005,0.494944001902538
"NG-30919_RBL_30_lib628471_10098_1","Uveal/Eye","UVM","LGG",0.617736177240643,0.4990428389202
"NG-30919_RBL_7_lib628468_10098_1","Uveal/Eye","UVM","LGG",0.601353336860291,0.510867411136687
"NG-30919_WERI_RB1_lib628472_10098_1","Uveal/Eye","UVM","UCS",0.591771085802767,0.483529025690121
"NG-30919_Y_79_lib626626_10098_1","Uveal/Eye","UVM","UCS",0.564976660194886,0.487973234305023
