tumour	tumour_cancer_type	tumour_cohort	first_matching_cell_line_group_rank_at10	reciprocal_rank_at10	top_ranked_cell_line_group	top_ranked_cell_line_group_cancer_type	rank1_correct	n_ranked_biological_cell_line_groups	n_displayed_top10_biological_cell_line_groups
TCGA-A8-A06P-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A8-A06Q-01A-11R-A034-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-A8-A06R-01A-11R-A00Z-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A8-A06T-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-A8-A06U-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-A8-A06X-01A-21R-A00Z-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A8-A06Y-01A-21R-A00Z-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A8-A06Z-01A-11R-A00Z-07	BRCA	BRCA	1	1	IPH_926	BRCA	TRUE	56	10
TCGA-A8-A075-01A-11R-A084-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A8-A076-01A-21R-A00Z-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A8-A079-01A-21R-A00Z-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A8-A07B-01A-11R-A00Z-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-A8-A07C-01A-11R-A034-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-A8-A07F-01A-11R-A00Z-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-A8-A07G-01A-11R-A034-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-A8-A07I-01A-11R-A00Z-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-A8-A07L-01A-11R-A00Z-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A8-A07O-01A-11R-A00Z-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-A8-A07P-01A-11R-A00Z-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A8-A07R-01A-21R-A034-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A8-A07S-01A-11R-A034-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A8-A07W-01A-11R-A00Z-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-A8-A07Z-01A-11R-A00Z-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A8-A081-01A-11R-A00Z-07	BRCA	BRCA	1	1	IPH_926	BRCA	TRUE	56	10
TCGA-A8-A082-01A-11R-A00Z-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-A8-A083-01A-21R-A00Z-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-A8-A084-01A-21R-A00Z-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-A8-A086-01A-11R-A00Z-07	BRCA	BRCA	1	1	HS_578T_B	BRCA	TRUE	56	10
TCGA-A8-A08A-01A-11R-A32Y-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A8-A08B-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-A8-A08C-01A-11R-A00Z-07	BRCA	BRCA	1	1	IPH_926	BRCA	TRUE	56	10
TCGA-A8-A08G-01A-11R-A00Z-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A8-A08J-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-A8-A08L-01A-11R-A00Z-07	BRCA	BRCA	1	1	CAL_148	BRCA	TRUE	56	10
TCGA-A8-A08O-01A-21R-A056-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A8-A08R-01A-11R-A034-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A8-A08S-01A-11R-A034-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-A8-A08T-01A-21R-A00Z-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-A8-A090-01A-11R-A00Z-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A8-A091-01A-11R-A00Z-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A8-A092-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A8-A093-01A-11R-A00Z-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A8-A095-01A-11R-A00Z-07	BRCA	BRCA	1	1	CAL_148	BRCA	TRUE	56	10
