"sample_id","tcga_cohort","rho"
"NG-A0611_LS_libLAB6078","LUSC",0.372551648508942
"NG-A0611_LS_libLAB6078","MESO",0.481717580736876
"NG-A0611_LS_libLAB6078","OV",0.426135602259739
"NG-A0611_LS_libLAB6078","PAAD",0.408597450996384
"NG-A0611_LS_libLAB6078","PCPG",0.545357702160705
"NG-A0611_LS_libLAB6078","PRAD",0.485340239375299
"NG-A0611_LS_libLAB6078","READ",0.272491354551594
"NG-A0611_LS_libLAB6078","SARC",0.645991740592847
"NG-A0611_LS_libLAB6078","SKCM",0.48976675322666
"NG-A0611_LS_libLAB6078","STAD",0.335667816733412
"NG-A0611_LS_libLAB6078","TGCT",0.408207786845202
"NG-A0611_LS_libLAB6078","THCA",0.440496370218994
"NG-A0611_LS_libLAB6078","THYM",0.290491415149076
"NG-A0611_LS_libLAB6078","UCEC",0.456367584069848
"NG-A0611_LS_libLAB6078","UCS",0.64626845207478
"NG-A0611_LS_libLAB6078","UVM",0.484811924769138
"NG-A0611_MHHNB11_libLAB6084","ACC",0.508769707144622
"NG-A0611_MHHNB11_libLAB6084","BLCA",0.338508316526249
"NG-A0611_MHHNB11_libLAB6084","BRCA",0.463233540154246
"NG-A0611_MHHNB11_libLAB6084","CESC",0.258846647990331
"NG-A0611_MHHNB11_libLAB6084","CHOL",0.35761730236776
"NG-A0611_MHHNB11_libLAB6084","COAD",0.235200199108608
"NG-A0611_MHHNB11_libLAB6084","DLBC",0.216146338693704
"NG-A0611_MHHNB11_libLAB6084","ESCA",0.314889078223859
"NG-A0611_MHHNB11_libLAB6084","GBM",0.570573389183397
"NG-A0611_MHHNB11_libLAB6084","HNSC",0.276040022564876
"NG-A0611_MHHNB11_libLAB6084","KICH",0.383667287124031
"NG-A0611_MHHNB11_libLAB6084","KIRC",0.408699622645076
"NG-A0611_MHHNB11_libLAB6084","KIRP",0.374951898270637
"NG-A0611_MHHNB11_libLAB6084","LAML",0.155415416639553
"NG-A0611_MHHNB11_libLAB6084","LGG",0.579202696506215
"NG-A0611_MHHNB11_libLAB6084","LIHC",0.295406851647909
"NG-A0611_MHHNB11_libLAB6084","LUAD",0.327540544643808
"NG-A0611_MHHNB11_libLAB6084","LUSC",0.335205091975884
"NG-A0611_MHHNB11_libLAB6084","MESO",0.469255764865234
"NG-A0611_MHHNB11_libLAB6084","OV",0.426474604646159
"NG-A0611_MHHNB11_libLAB6084","PAAD",0.384152267976944
"NG-A0611_MHHNB11_libLAB6084","PCPG",0.662822505077264
"NG-A0611_MHHNB11_libLAB6084","PRAD",0.470224941511336
"NG-A0611_MHHNB11_libLAB6084","READ",0.248910555885649
"NG-A0611_MHHNB11_libLAB6084","SARC",0.618921283875528
"NG-A0611_MHHNB11_libLAB6084","SKCM",0.48214190663946
"NG-A0611_MHHNB11_libLAB6084","STAD",0.302389855010138
"NG-A0611_MHHNB11_libLAB6084","TGCT",0.455381789069323
"NG-A0611_MHHNB11_libLAB6084","THCA",0.408787055638179
"NG-A0611_MHHNB11_libLAB6084","THYM",0.342597900753
"NG-A0611_MHHNB11_libLAB6084","UCEC",0.432360390996648
"NG-A0611_MHHNB11_libLAB6084","UCS",0.626245932169133
"NG-A0611_MHHNB11_libLAB6084","UVM",0.508354662187072
"NG-A0611_NBLS_libLAB6077","ACC",0.476428701087619
"NG-A0611_NBLS_libLAB6077","BLCA",0.329050554013525
"NG-A0611_NBLS_libLAB6077","BRCA",0.45797039860021
"NG-A0611_NBLS_libLAB6077","CESC",0.249370226767447
"NG-A0611_NBLS_libLAB6077","CHOL",0.359241382100371
"NG-A0611_NBLS_libLAB6077","COAD",0.232517274790391
"NG-A0611_NBLS_libLAB6077","DLBC",0.178189890470758
"NG-A0611_NBLS_libLAB6077","ESCA",0.318905380485378
"NG-A0611_NBLS_libLAB6077","GBM",0.539173900654985
"NG-A0611_NBLS_libLAB6077","HNSC",0.284693990673656
"NG-A0611_NBLS_libLAB6077","KICH",0.388248115798825
"NG-A0611_NBLS_libLAB6077","KIRC",0.403119282940968
"NG-A0611_NBLS_libLAB6077","KIRP",0.373084273681628
"NG-A0611_NBLS_libLAB6077","LAML",0.0963896394419267
