Gene	WGCNA_kTotal	Spearman_meanAbs	Variance	Variance_scaled	MX_Score	Rank_kTotal	Rank_MX	Pctl_kTotal	Pctl_MX	Rank_Sum	Rank_Prod	Rank_Combo
ENSG00000223865	11.909499894565208	0.15107043614796636	15.352165155826818	0.4124858379148621	0.06231441543865758	462	80	0.9213176309950504	0.9865164703874382	542	36960	55
ENSG00000186832	12.545626072563342	0.19530158058658648	10.341720856975332	0.2778639592443423	0.0542672704284669	424	124	0.9278033794162827	0.9790066564260113	548	52576	56
ENSG00000137507	12.418341188962653	0.18635405297010998	10.912950252533705	0.2932118944363414	0.05464122490725626	435	120	0.9259259259259259	0.9796893667861409	555	52200	57
ENSG00000174099	25.04666217082705	0.19495738379417055	6.91988853423877	0.1859253070398069	0.03624751144160863	151	406	0.9743983614951357	0.9308755760368663	557	61306	58
ENSG00000165140	13.691921431826142	0.19173963265245836	9.56236413381223	0.2569240066236203	0.049262514649610734	387	172	0.9341184502474825	0.9708141321044547	559	66564	59
ENSG00000169083	10.865651491077044	0.1757968227333436	15.543053203451976	0.4176146660295538	0.07341533141484197	520	40	0.9114183307731695	0.9933435739887353	560	20800	60
ENSG00000211899	11.492219706196897	0.14152161081234768	16.788760592427206	0.4510846457309616	0.06383822567656287	487	73	0.9170506912442397	0.9877112135176651	560	35551	61
ENSG00000204385	11.002901754373173	0.17668118331947982	15.066887933224043	0.404820937686853	0.0715242423030146	514	47	0.9124423963133641	0.9921488308585082	561	24158	62
ENSG00000121297	16.094943837520994	0.18157688488054358	9.174475509398594	0.2465021174220066	0.044759086597945925	319	243	0.9457245263696876	0.9586960232121522	562	77517	63
ENSG00000119866	17.550599211550463	0.2136263670909052	7.451678608900623	0.20021357663013542	0.04277089901777239	280	283	0.9523809523809523	0.9518689196108551	563	79240	64
ENSG00000007237	13.61117875629295	0.19543109808158557	9.317570701814844	0.2503468350723377	0.04892555687943655	391	176	0.9334357398873527	0.970131421744325	567	68816	65
ENSG00000115414	13.210657160890994	0.14321853032228915	12.752726488683056	0.3426434654649977	0.04907289354843301	405	173	0.9310462536268987	0.9706434545144222	578	70065	66
ENSG00000028137	16.733352765544076	0.1775881522232986	8.972546837294924	0.24107664702963627	0.04281235629018147	300	282	0.9489674005803038	0.9520395972008875	582	84600	67
ENSG00000137809	14.70856970470305	0.1369053629847767	12.32595640665547	0.33117689947281714	0.04533989363449894	356	231	0.9394094555384878	0.9607441542925413	587	82236	68
ENSG00000187955	11.189429597346574	0.19895037574058475	11.392807638292794	0.3061048234685273	0.06089966964506887	500	88	0.9148318825738181	0.9851510496671787	588	44000	69
ENSG00000102243	14.842601335656944	0.19940250902433918	8.413185088490996	0.22604757475800694	0.04507445356561346	353	236	0.9399214883085851	0.9598907663423792	589	83308	70
ENSG00000115956	17.220480337887267	0.1441381587125016	10.60961620915642	0.28506183900242793	0.04108828859300954	284	311	0.9516982420208226	0.9470899470899471	595	88324	71
ENSG00000183801	19.483806648407867	0.18633870479292763	7.763590907036528	0.20859411477225587	0.03886915717408945	237	359	0.9597200887523468	0.9388974227683905	596	85083	72
ENSG00000165633	12.101891220517263	0.17937749452438495	10.717609793796044	0.2879634378191003	0.051654159990618724	451	148	0.9231950844854071	0.974910394265233	599	66748	73
ENSG00000180447	12.379432190532505	0.19972732344890945	9.291428121355736	0.24964442963984798	0.04986081374589643	437	163	0.9255845707458611	0.9723502304147466	600	71231	74
ENSG00000178033	19.868758477410562	0.16557338516556425	8.515881481590025	0.22880684729893638	0.037884324256345234	229	373	0.9610855094726063	0.9365079365079365	602	85417	75
ENSG00000106624	19.779328378779752	0.15916816022734417	8.869882017032154	0.23831822279561904	0.037932673071028995	233	371	0.9604027991124765	0.9368492916880014	604	86443	76
ENSG00000154096	10.584972966166562	0.1437675949386457	16.518060696777678	0.4438114127929951	0.0638056994235714	538	74	0.9083461341525858	0.9875405359276327	612	39812	77
ENSG00000248360	16.302045517138836	0.19610091353849596	7.93610934579382	0.21322938361181473	0.04181447691952727	315	298	0.9464072367298174	0.9493087557603687	613	93870	78
ENSG00000131016	17.39770144685428	0.19185183220021618	7.769162657251378	0.2087438179595716	0.0400478839360122	283	334	0.9518689196108551	0.9431643625192012	617	94522	79
ENSG00000163430	23.76564793332172	0.18889729431423805	6.831423869121724	0.18354841614876455	0.03467179918616542	164	454	0.9721795528247141	0.9226830517153097	618	74456	80
ENSG00000165617	24.881526274992666	0.16397813084939308	7.757172310466554	0.20842165830389914	0.034176593957204265	154	467	0.9738863287250384	0.9204642430448882	621	71918	81
