gene_id	gene_symbol	source_category	source_lineage_or_contrast	selection_reason
ENSG00000173083	HPSE	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000174197	MGA	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000174279	EVX2	isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000174939	ASPHD1	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000175832	ETV4	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000176658	MYO1D	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000176946	THAP4	isolate rescue	BRCA:isolate_HCC_1937_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000177822		isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000178026	LRRC75B	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000178585	CTNNBIP1	isolate rescue	RBL:isolate_NG-30919_RBL_14_lib628470_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000181885	CLDN7	strict recurrent core	BRCA; BRCA:isolate_CAL_51_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000182022	CHST15	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000182534	MXRA7	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000183018	SPNS2	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000184384	MAML2	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000184613	NELL2	isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000185238	PRMT3	isolate rescue	RBL:isolate_NG-30919_RBL_7_lib628468_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000185338	SOCS1	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000185650	ZFP36L1	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000185950	IRS2	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000186350	RXRA	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000186827	TNFRSF4	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000186854	TRABD2A	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000186891	TNFRSF18	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000187601	MAGEH1	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000187678	SPRY4	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000188227	ZNF793	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000189143	CLDN4	strict recurrent core	BRCA; BRCA:isolate_CAL_51_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000197471	SPN	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
