cell_line_group_id	cell_line_lineage	tumour_sample_id	tumour_lineage	similarity_score	rank	consensus_component_id	consensus_component_label	same_lineage_indicator
CAL_120	breast cancer	TCGA-BH-A201-01A-11R-A14M-07	breast cancer	0.372123419358964	32	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-E2-A1IF-01A-11R-A144-07	breast cancer	0.371717439222642	33	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-A2-A0SU-01A-11R-A084-07	breast cancer	0.371346397135918	34	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-A2-A0CX-01A-21R-A00Z-07	breast cancer	0.370872637183378	35	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-B6-A0RG-01A-11R-A056-07	breast cancer	0.370021546295187	36	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-BH-A0DQ-01A-11R-A084-07	breast cancer	0.367628289897768	37	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-E2-A14Y-01A-21R-A12D-07	breast cancer	0.367493429026322	38	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-A2-A0EM-01A-11R-A034-07	breast cancer	0.36701198270287	39	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-AO-A1KT-01A-11R-A13Q-07	breast cancer	0.366726888218156	40	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-GM-A2DM-01A-11R-A180-07	breast cancer	0.366053981382911	41	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-B6-A0RS-01A-11R-A084-07	breast cancer	0.365330064995254	42	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-BH-A0DT-01A-21R-A12D-07	breast cancer	0.364395122788028	43	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-A7-A6VW-01A-21R-A33J-07	breast cancer	0.363133160436572	44	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-BH-A0H6-01A-21R-A056-07	breast cancer	0.361344332297187	45	4	Component 4 - breast cancer dominant (n = 47, purity = 1.00)	TRUE
CAL_120	breast cancer	TCGA-AO-A126-01A-11R-A10J-07	breast cancer	0.36096839888352	46	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-AO-A12G-01A-11R-A10J-07	breast cancer	0.360929268267971	47	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-C8-A135-01A-11R-A115-07	breast cancer	0.35863942849736	48	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-E9-A244-01A-11R-A169-07	breast cancer	0.353277136645158	49	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-E9-A1N6-01A-11R-A144-07	breast cancer	0.352892818099587	50	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-C8-A274-01A-11R-A16F-07	breast cancer	0.591413485178755	1	4	Component 4 - breast cancer dominant (n = 47, purity = 1.00)	TRUE
CAL_148	breast cancer	TCGA-E2-A107-01A-11R-A10J-07	breast cancer	0.527693470323097	2	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-A8-A095-01A-11R-A00Z-07	breast cancer	0.507523035529551	3	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-C8-A1HE-01A-11R-A13Q-07	breast cancer	0.501736595755237	4	4	Component 4 - breast cancer dominant (n = 47, purity = 1.00)	TRUE
CAL_148	breast cancer	TCGA-BH-A0HU-01A-11R-A034-07	breast cancer	0.497838906942156	5	5	Component 5 - breast cancer dominant (n = 79, purity = 1.00)	TRUE
CAL_148	breast cancer	TCGA-BH-A0HI-01A-11R-A084-07	breast cancer	0.494850306179598	6	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-C8-A12Z-01A-11R-A115-07	breast cancer	0.48890454889912	7	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-A7-A0CH-01A-21R-A00Z-07	breast cancer	0.487484666563483	8	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-B6-A0RO-01A-22R-A084-07	breast cancer	0.486984353693249	9	3	Component 3 - breast cancer dominant (n = 24, purity = 1.00)	TRUE
CAL_148	breast cancer	TCGA-BH-A0W3-01A-11R-A109-07	breast cancer	0.479075078025399	10	5	Component 5 - breast cancer dominant (n = 79, purity = 1.00)	TRUE
CAL_148	breast cancer	TCGA-B6-A0X0-01A-21R-A115-07	breast cancer	0.472484364349354	11	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-B6-A0IP-01A-11R-A034-07	breast cancer	0.471603226738509	12	4	Component 4 - breast cancer dominant (n = 47, purity = 1.00)	TRUE
CAL_148	breast cancer	TCGA-E2-A1LB-01A-11R-A144-07	breast cancer	0.47025811182901	13	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-A8-A09N-01A-11R-A00Z-07	breast cancer	0.467293268940179	14	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-A8-A084-01A-21R-A00Z-07	breast cancer	0.465277343478411	15	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-Z7-A8R6-01A-11R-A41B-07	breast cancer	0.46326351429962	16	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-B6-A0WZ-01A-11R-A109-07	breast cancer	0.461096656463592	17	5	Component 5 - breast cancer dominant (n = 79, purity = 1.00)	TRUE
CAL_148	breast cancer	TCGA-A2-A0CS-01A-11R-A115-07	breast cancer	0.460500613337461	18	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-A8-A08S-01A-11R-A034-07	breast cancer	0.459671882801011	19	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-E2-A10E-01A-21R-A10J-07	breast cancer	0.457129091551316	20	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-BH-A18J-01A-11R-A12D-07	breast cancer	0.456764338313519	21	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-AO-A0J8-01A-21R-A034-07	breast cancer	0.455822408496375	22	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-A8-A09W-01A-11R-A00Z-07	breast cancer	0.455146706617162	23	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-A8-A08A-01A-11R-A32Y-07	breast cancer	0.454388550940899	24	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-B6-A0IB-01A-11R-A034-07	breast cancer	0.452564784751917	25	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-D8-A1XJ-01A-11R-A14M-07	breast cancer	0.449822846619517	26	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
