Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR17011016_2	SRR17011016_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68616795.0	0.0	35-151	51.0	30.364970796299705	146.25507792953604	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011017_1	SRR17011017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27650898.0	0.0	35-151	51.0	33.71793881855012	145.77042242895692	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011017_2	SRR17011017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27650898.0	0.0	35-151	52.0	36.977720481037345	145.67607883837985	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011018_1	SRR17011018_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55160534.0	0.0	35-151	50.0	27.680653975390435	146.10627426123176	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011018_2	SRR17011018_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55160534.0	0.0	35-151	50.0	29.563588306612797	146.01862365944464	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011019_1	SRR17011019_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28210246.0	0.0	35-151	50.0	25.858767170417295	143.3951182488802	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011019_2	SRR17011019_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28210246.0	0.0	35-151	51.0	29.241869237682206	143.4168508137079	151	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR17011020_1	SRR17011020_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40999944.0	0.0	35-151	50.0	25.17931619723513	145.36223827525228	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011020_2	SRR17011020_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40999944.0	0.0	35-151	50.0	28.36377690210722	145.310291716496	151	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
SRR17011021_1	SRR17011021_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26910800.0	0.0	35-151	50.0	27.147105740164832	142.38127629055992	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011021_2	SRR17011021_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26910800.0	0.0	35-151	51.0	30.118436180025466	142.44338310269484	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011022_1	SRR17011022_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27668199.0	0.0	35-151	51.0	25.9162194038043	143.58260373217644	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011022_2	SRR17011022_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27668199.0	0.0	35-151	51.0	29.39863078934667	143.60927633923697	151	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR17011023_1	SRR17011023_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26567778.0	0.0	35-151	50.0	24.39118688061678	141.77453135147397	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011023_2	SRR17011023_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26567778.0	0.0	35-151	50.0	28.367834340688212	141.88384286408896	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011024_1	SRR17011024_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60700341.0	0.0	35-151	51.0	25.30848289342027	145.41766852677154	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
